service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
115341,1,1,1,1,1,0,0,20240930,20250328
114048,1,1,0,0,1,0,0,20240930,20250328
112646,1,1,0,0,0,0,0,20240930,20250328
112118,0,1,0,0,1,0,0,20240930,20250328
111977,0,1,0,0,0,0,0,20240930,20250328
96726,0,0,0,0,0,0,0,20240930,20250328
96171,0,0,0,0,0,0,0,20240930,20250328
90908,0,0,0,0,0,0,0,20240930,20250327
79235,0,0,0,0,0,0,0,20240930,20250328
34813,0,0,0,0,0,0,0,20241002,20250326
25986,0,0,0,0,0,0,1,20241006,20250323
25739,0,0,0,0,0,1,0,20241005,20250322
25030,0,0,0,0,0,0,1,20241006,20250323
24056,0,0,0,0,0,0,1,20241006,20250323
23668,0,0,0,0,0,1,0,20241005,20250322
23140,0,0,0,0,0,0,0,20241011,20250328
22763,0,0,0,0,0,0,1,20241006,20250323
17877,0,0,0,0,0,0,0,20241011,20250221
17322,0,0,0,0,0,0,0,20241018,20250307
16645,0,0,0,0,0,0,0,20241002,20250326
16587,0,0,0,0,0,0,0,20241002,20250326
1402,0,0,0,0,1,0,0,20241004,20241011
904,0,0,1,0,0,0,0,20241127,20241127
337,0,0,1,0,0,0,0,20250101,20250101
