route_id,agency_id,route_short_name,route_desc,route_type
100001,1,"1","Kinnear - Downtown Seattle",3
100002,1,"10","Capitol Hill - Downtown Seattle",3
100003,1,"101","Renton Transit Center - Downtown Seattle",3
100004,1,"105","Renton Highlands - Renton Transit Center",3
100005,1,"106","Renton Transit Center - Skyway - Downtown Seattle",3
100006,1,"107","Renton Transit Center - Rainier Beach",3
100009,1,"11","Madison Park - Capitol Hill - Downtown Seattle",3
100011,1,"111","Lake Kathleen - Downtown Seattle",3
100012,1,"113","Shorewood - Downtown Seattle",3
100016,1,"118","Tahlequah - Vashon - Downtown Seattle",3
100017,1,"119","Dockton - Vashon - Downtown Seattle",3
100018,1,"12","Interlaken Park - Capitol Hill - Downtown Seattle",3
100023,1,"124","Tukwila International Blvd Sta - Downtown Seattle",3
100024,1,"125","Westwood Vill - S Seattle Coll - Downtown Seattle",3
100026,1,"128","Southcenter - Alaska Junction - Admiral District",3
100028,1,"13","Seattle Pacific - Downtown Seattle",3
100030,1,"131","Burien TC - Georgetown - Downtown Seattle",3
100031,1,"132","Burien TC - South Park - Downtown Seattle",3
100039,1,"14","Mt Baker - Downtown Seattle",3
100042,1,"148","Fairwood - Renton Transit Center",3
100045,1,"150","Kent Station - Southcenter - Downtown Seattle",3
100048,1,"153","Kent Sounder Station - Renton Transit Center",3
100060,1,"168","Maple Valley - Kent Sounder Station",3
100062,1,"17","Loyal Heights-Sunset Hill-Ballard-Downtown Seattle",3
100068,1,"177","Federal Way S 320th P&R - Downtown Seattle",3
100072,1,"181","Twin Lakes P&R - Auburn Station - Green River Coll",3
100073,1,"182","Northeast Tacoma - Federal Way TC",3
100074,1,"183","Federal Way TC - Star Lake - Kent Station",3
100078,1,"187","Federal Way - Twin Lakes",3
100089,1,"2","West Queen Anne - Downtown Seattle - Madrona Park",3
100099,1,"208","North Bend - Issaquah Transit Center",3
100101,1,"21","Arbor Heights-Westwood Village-Downtown Seattle",3
100104,1,"212","Eastgate P&R - Downtown Seattle",3
100111,1,"22","Westwood Villge-Shorewood-Gatewood-Alaska Junction",3
100113,1,"221","Education Hill - Crossroads - Eastgate",3
100132,1,"24","West Magnolia - Downtown Seattle",3
100133,1,"240","Bellevue Transit Center - Renton Transit Center",3
100136,1,"245","Kirkland Transit Center - Crossroads - Factoria",3
100137,1,"246","Eastgate P&R-Somerset-Bellevue TC-Clyde Hill",3
100139,1,"249","Overlake - South Bellevue Station",3
100146,1,"255","Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist",3
100148,1,"257","Brickyard P&R - Downtown Seattle",3
100160,1,"269","Issaquah Transit Center - Overlake P&R",3
100161,1,"27","Colman Park - Downtown Seattle",3
100162,1,"271","Issaquah - University District",3
100169,1,"28","Whittier Heights - Fremont - Downtown Seattle",3
100173,1,"3","Summit - Downtown Seattle - Madrona",3
100177,1,"303","Aurora Village - Northgate Station - First Hill",3
100184,1,"31","Children's Hospital - Fremont - Central Magnolia",3
100186,1,"311","Woodinville - Downtown Seattle",3
100193,1,"32","Children's Hospital - Fremont -Seattle Center West",3
100194,1,"33","Discovery Park - Downtown Seattle",3
100196,1,"331","Shoreline Comm Coll-Aurora Village TC-Kenmore P&R",3
100202,1,"345","Shoreline South/148th Station - Northgate Station",3
100203,1,"346","Aurora Village TC - Shoreline South/148th Station",3
100205,1,"348","Richmond Beach - Shoreline North - Northgate",3
100210,1,"36","Othello Station - Beacon Hill - Downtown Seattle",3
100214,1,"372","UW/Cascadia College - University District",3
100219,1,"4","East Queen Anne - Downtown Seattle - Judkins Park",3
100223,1,"43","Univ Dist-Montlake-Capitol Hill-Downtown Seattle",3
100224,1,"44","Ballard - Montlake",3
100225,1,"45","Loyal Heights - University District",3
100228,1,"48","Mt Baker - University District",3
100229,1,"5","Shoreline CC - Greenwood - Seattle",3
100230,1,"50","West Seattle - SODO - Beacon Hill - Columbia City",3
100232,40,"522","Woodinville - Roosevelt Link Station",3
100236,40,"545","Redmond - Seattle",3
100239,40,"550","Bellevue - Seattle",3
100240,40,"554","Issaquah - Seattle",3
100242,1,"56","Alki - Admiral District - Downtown Seattle",3
100246,1,"57","Alaska Junction - Genesee Hill - Admiral District",3
100249,1,"60","Westwood Village - Georgetown - Broadway",3
100252,1,"62","Sand Point - Green Lake - Downtown Seattle",3
100254,1,"65","Lake City  - University District",3
100259,1,"67","Northgate - Roosevelt - University District",3
100263,1,"7","Prentice St - Rainier Beach - Downtown Seattle",3
100264,1,"70","University District - Eastlake - Downtown Seattle",3
100269,1,"75","Northgate - Lake City - Sand Point - Univ District",3
100272,1,"773","Seacrest Park - West Seattle Junction",3
100275,1,"8","Seattle Center - Capitol Hill - Rainier Beach",3
100289,1,"9","Rainier Beach - Columbia City - Broadway",3
100290,1,"901","Mirror Lake - Federal Way TC",3
100292,1,"903","Twin Lakes - Federal Way TC",3
100297,1,"914","Downtown Kent - Kent East Hill",3
100300,1,"917","Pacific - Algona - Auburn Station",3
100336,1,"973","Water Taxi: West Seattle - Downtown Seattle",4
100337,1,"975","Water Taxi: Vashon Island - Downtown Seattle",4
100340,23,"South Lake Union Streetcar","Streetcar: Fairview/Aloha - Westlake/McGraw",0
100341,1,"982","Bear Creek P&R - Lakeside School",3
100344,1,"986","Kirkland - Lakeside School",3
100345,1,"987","Rainier Beach - Lakeside School",3
100346,1,"988","Madrona - Lakeside School",3
100347,1,"989","Eastgate - Lakeside School",3
100447,1,"49","Univ District - Broadway - Downtown Seattle",3
100451,40,"556","Issaquah-University District",3
100459,1,"218","Issaquah Highlands - Downtown Seattle",3
100473,1,"981","Lakeside School - Houghton P&R",3
100481,1,"775","Seacrest Park - Admiral District - Alki",3
100487,1,"102","Fairwood - Downtown Seattle",3
100489,1,"156","Southcenter - SeaTac - Des Moines - Highline Coll",3
100495,1,"193","Federal Way S 320th P&R-Federal Way TC-First Hill",3
100496,1,"930","Kingsgate P&R - Redmond Town Center",3
100511,40,"542","Redmond - University District",3
100512,1,"A Line","Federal Way TC - SeaTac - Tukwila Intl Blvd Sta",3
102548,1,"B Line","Redmond TC - Overlake TC - Bellevue TC",3
102552,1,"226","Eastgate P&R-Crossroads-Overlake-Bellevue TC",3
102554,1,"241","Eastgate P&R - Bellevue Transit Center",3
102555,1,"893","Forbes Crk - Kirkland - Lk WA HS",3
102557,1,"915","Enumclaw - Auburn Station",3
102561,1,"907","Enumclaw - Renton TC",3
102574,1,"40","Northgte-Ballard-Fremont-Westlake-Downtown Seattle",3
102576,1,"C Line","Valley St/Fairview Av N - SW Barton St/26 Av SW",3
102581,1,"D Line","Blue Ridge/Crown Hill - Ballard - Downtown Seattle",3
102593,1,"906","Fairwood - Southcenter - Tukwila Sounder Station",3
102615,1,"E Line","Aurora Village Transit Center - Downtown Seattle",3
102619,1,"F Line","Burien TC - Tukwila Intl Blvd Sta - Renton Landing",3
102628,1,"895","Ardmore Park - Lake WA HS",3
102634,1,"630","So Mercer Island - First Hill - Downtown Seattle",3
102636,1,"631","Gregory Heights - Burien Transit Center",3
102638,23,"First Hill Streetcar","Streetcar: Pioneer Square - Capitol Hill",0
102646,1,"Trailhead Direct Issaquah Alps","Mount Baker TC - Issaquah Alps",3
102647,1,"635","Des Moines Marina District - Angle Lake Station",3
102650,1,"Trailhead Direct Mt. Si","Capitol Hill - Mt. Si",3
102652,1,"204","S Mercer Island-Island Crest Way-Mercer Island P&R",3
102653,1,"224","Duvall - Redmond Transit Center",3
102698,1,"Duvall-Monroe Shuttle","Duvall - Monroe Shuttle",3
102699,1,"SVT","No. Bend-Snoqualmie-Fall City-Carnation-Duvall",3
102701,1,"225","Kenmore - Totem Lake TC - Overlake",3
102702,1,"239","UW/Cascadia Coll - Totem Lake TC - Kirkland TC",3
102703,1,"231","Woodinville - Brickyard - Juanita - Kirkland TC",3
102704,1,"250","Avondale -  Redmond TC - Kirkland TC - Bellevue TC",3
102705,1,"230","North Creek - Bothell - Juanita - Kirkland TC",3
102715,1,"162","Lake Meridean P&R - Downtown Seattle",3
102717,1,"165","Green River College - Kent - Des Moines - Burien",3
102718,1,"184","Auburn Station - White River Junction",3
102719,1,"161","Burien - Kent Station",3
102720,1,"160","Renton TC - Kent Station - Auburn Station",3
102729,1,"322","Kenmore P&R - 12 Av/E Terrace St",3
102732,1,"79","Greenlake - University District",3
102734,40,"566","Auburn - Redmond",3
102736,1,"H Line","Burien TC - Westwood Village - Downtown Seattle",3
102744,1,"365","Northgate Station - Shoreline Link Stations",3
102745,1,"G Line","Madison Valley - Downtown Seattle",3
102746,1,"333","Shoreline South/148 - Mountlake Terrace Station",3
102747,1,"61","Lake City - Northgate - Greenwood",3
